Virtual Memory Disk Pages file already exists : res/memory/vm.txt
Clock : 1000 , Process 2 , Started
Clock : 1600 , Process 2 , Store: Variable 1, Value 5
Clock : 2000 , Process 1 , Started
Clock : 2600 , Process 2 , Store: Variable 2, Value 3
Clock : 2700 , Process 2 , Store: Variable 3, Value 7
Clock : 2700 , Process 2 , Store: Variable 3, Value 7
Clock : 3000 , Process 2 , Paused
Clock : 3000 , Process 2 , Paused
Clock : 3000 , Process 2 , Paused
Clock : 3000 , Process 2 , Paused
Clock : 3000 , Process 1 , Store: Variable 3, Value 7
Clock : 3100 , Process 2 , Paused
Clock : 3100 , Process 2 , Paused
Clock : 3200 , Process 2 , Paused
Clock : 3100 , Process 1 , Store: Variable 3, Value 7
Clock : 3300 , Process 2 , Paused
Clock : 3300 , Process 2 , Paused
Clock : 3300 , Process 1 , Store: Variable 3, Value 7
Clock : 3400 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
Clock : 3500 , Process 2 , Paused
